source_dataset,source_id,lookup_key,food_name_en,food_name_zh,food_name_fr,carbon_factor_kgco2e_per_kg,carbon_unit,source_year,source_name_raw
foodcarbon,12112,abondance_cheese_from_cow_s_milk,"Abondance cheese, from cow's milk",,Abondance,6.130000,kgCO2e/kg_product,,Abondance
foodcarbon,11168,aioli_sauce_garlic_and_olive_oil_mayonnaise_prepacked,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",,"Sauce aïoli, préemballée",1.640000,kgCO2e/kg_product,,"Sauce aïoli, préemballée"
foodcarbon,26006,alaska_pollock_raw,"Alaska pollock, raw",,"Lieu ou colin d'Alaska, cru",12.000000,kgCO2e/kg_product,,"Lieu ou colin d'Alaska, cru"
foodcarbon,26152,alaska_pollock_smoked,"Alaska pollock, smoked",,"Lieu ou colin d'Alaska, fumé",12.000000,kgCO2e/kg_product,,"Lieu ou colin d'Alaska, fumé"
foodcarbon,26179,albacore_in_olive_oil_canned_drained,"Albacore, in olive oil, canned, drained",,"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",10.100000,kgCO2e/kg_product,,"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté"
foodcarbon,26076,albacore_raw,"Albacore, raw",,"Thon germon ou thon blanc, cru",9.380000,kgCO2e/kg_product,,"Thon germon ou thon blanc, cru"
foodcarbon,26077,albacore_steamed_under_pressure,"Albacore, steamed under pressure",,"Thon germon ou thon blanc, cuit à la vapeur sous pression",11.700000,kgCO2e/kg_product,,"Thon germon ou thon blanc, cuit à la vapeur sous pression"
foodcarbon,15029,alfalfa_seeds_sprouted_raw,"Alfalfa seeds, sprouted, raw",,"Luzerne, graine germée",3.490000,kgCO2e/kg_product,,"Luzerne, graine germée"
foodcarbon,24664,almond_cake,Almond cake,,Gâteau aux amandes type financier,4.470000,kgCO2e/kg_product,,Gâteau aux amandes type financier
foodcarbon,18107,almond_drink_not_sweet_not_fortified_prepacked,"Almond drink not sweet, not fortified, prepacked",,Boisson à l'amande,0.381000,kgCO2e/kg_product,,Boisson à l'amande
foodcarbon,15042,almond_grilled_salted,"Almond, grilled, salted",,"Amande, grillée, salée",2.630000,kgCO2e/kg_product,,"Amande, grillée, salée"
foodcarbon,15201,almond_paste_or_marzipan_prepacked,"Almond paste or marzipan, prepacked",,"Pâte d'amande, préemballée",2.180000,kgCO2e/kg_product,,"Pâte d'amande, préemballée"
foodcarbon,15041,almond_peeled_unpeeled_or_blanched,"Almond, peeled, unpeeled or blanched",,"Amande, mondée, émondée ou blanchie",2.630000,kgCO2e/kg_product,,"Amande, mondée, émondée ou blanchie"
foodcarbon,15000,almond_with_peel,"Almond, (with peel)",,Amande (avec peau),2.630000,kgCO2e/kg_product,,Amande (avec peau)
foodcarbon,15032,alphalfa_seeds_raw,"Alphalfa seeds, raw",,"Luzerne, graine",3.490000,kgCO2e/kg_product,,"Luzerne, graine"
foodcarbon,9345,amaranth_raw,"Amaranth, raw",,"Amarante, crue",0.949000,kgCO2e/kg_product,,"Amarante, crue"
foodcarbon,26001,american_bass_raw,"American bass, raw",,"Bar rayé ou bar d'Amérique, cru",12.300000,kgCO2e/kg_product,,"Bar rayé ou bar d'Amérique, cru"
foodcarbon,10048,american_or_canadian_sea_scallop_without_coral_raw,"American or Canadian sea scallop, without coral, raw",,"Pecten d'Amérique ou Peigne du canada, noix, crue",9.890000,kgCO2e/kg_product,,"Pecten d'Amérique ou Peigne du canada, noix, crue"
foodcarbon,11167,american_style_sauce_prepacked,"American-style sauce, prepacked",,"Sauce américaine, préemballée",3.900000,kgCO2e/kg_product,,"Sauce américaine, préemballée"
foodcarbon,26000,anchovy_fillets_in_oil_semi_preserved_drained,"Anchovy, fillets, in oil, semi-preserved, drained",,"Anchois, filets à l'huile, semi-conserve, égoutté",9.620000,kgCO2e/kg_product,,"Anchois, filets à l'huile, semi-conserve, égoutté"
foodcarbon,25999,anchovy_fillets_rolled_with_capers_semi_preserved_drained,"Anchovy, fillets, rolled with capers, semi-preserved, drained",,"Anchois, filets roulés aux câpres, semi-conserve, égoutté",2.810000,kgCO2e/kg_product,,"Anchois, filets roulés aux câpres, semi-conserve, égoutté"
foodcarbon,26177,anchovy_in_salt_semi_preserved,"Anchovy, in salt (semi-preserved)",,"Anchois au sel (anchoité, semi-conserve)",2.600000,kgCO2e/kg_product,,"Anchois au sel (anchoité, semi-conserve)"
foodcarbon,26081,anglerfish_grilled,"Anglerfish, grilled",,"Lotte ou baudroie, grillée/poêlée",14.800000,kgCO2e/kg_product,,"Lotte ou baudroie, grillée/poêlée"
foodcarbon,26018,anglerfish_raw,"Anglerfish, raw",,"Lotte ou baudroie, crue",12.000000,kgCO2e/kg_product,,"Lotte ou baudroie, crue"
foodcarbon,13085,apple_canada_pulp_raw,"Apple, Canada, pulp, raw",,"Pomme Canada, pulpe, crue",0.408000,kgCO2e/kg_product,,"Pomme Canada, pulpe, crue"
foodcarbon,13038,apple_compote,Apple compote,,Compote de pomme,1.170000,kgCO2e/kg_product,,Compote de pomme
foodcarbon,23493,apple_crumble,Apple crumble,,Crumble aux pommes,2.240000,kgCO2e/kg_product,,Crumble aux pommes
foodcarbon,13111,apple_dried,"Apple, dried",,"Pomme, sèche",1.640000,kgCO2e/kg_product,,"Pomme, sèche"
foodcarbon,2074,apple_juice_pure_juice,"Apple juice, pure juice",,"Jus de pomme, pur jus",0.567000,kgCO2e/kg_product,,"Jus de pomme, pur jus"
foodcarbon,23481,apple_pie_with_custard_flour_eggs_cream_sugar_apple_alcohol,"Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)",2.890000,kgCO2e/kg_product,,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)"
foodcarbon,13039,apple_pulp_and_peel_raw,"Apple, pulp and peel, raw",,"Pomme, pulpe et peau, crue",0.408000,kgCO2e/kg_product,,"Pomme, pulpe et peau, crue"
foodcarbon,13050,apple_pulp_raw,"Apple, pulp, raw",,"Pomme, pulpe, crue",0.408000,kgCO2e/kg_product,,"Pomme, pulpe, crue"
foodcarbon,13175,apple_pulp_roasted_baked,"Apple, pulp, roasted/baked",,"Pomme, pulpe, rôtie/cuite au four",1.420000,kgCO2e/kg_product,,"Pomme, pulpe, rôtie/cuite au four"
foodcarbon,23490,apple_tart,Apple tart,,Tarte ou tartelette aux pommes,2.030000,kgCO2e/kg_product,,Tarte ou tartelette aux pommes
foodcarbon,23480,apple_turnover,Apple turnover,,Chausson aux pommes,2.050000,kgCO2e/kg_product,,Chausson aux pommes
foodcarbon,13620,apple_var_golden_pulp_and_skin_raw,"Apple, var. Golden, pulp and skin, raw",,"Pomme Golden, pulpe et peau, crue",0.408000,kgCO2e/kg_product,,"Pomme Golden, pulpe et peau, crue"
food-product,apples_2010,apples,Apples,,,0.430000,kgCO2e/kg_product,2010,Apples
foodcarbon,13176,apples_raw_without_skin_cooked_boiled_cooked_in_water,"Apples, raw, without skin, cooked, boiled/cooked in water",,"Pomme, pulpe, bouillie/cuite à l'eau",1.440000,kgCO2e/kg_product,,"Pomme, pulpe, bouillie/cuite à l'eau"
foodcarbon,13712,apricot_canned_in_light_syrup_drained,"Apricot, canned in light syrup, drained",,"Abricot au sirop léger, appertisé, égoutté",1.310000,kgCO2e/kg_product,,"Abricot au sirop léger, appertisé, égoutté"
foodcarbon,13713,apricot_canned_in_light_syrup_not_drained,"Apricot, canned in light syrup, not drained",,"Abricot au sirop léger, appertisé, non égoutté",0.769000,kgCO2e/kg_product,,"Abricot au sirop léger, appertisé, non égoutté"
foodcarbon,13714,apricot_in_syrup_canned_drained,"Apricot, in syrup, canned, drained",,"Abricot au sirop, appertisé, égoutté",1.330000,kgCO2e/kg_product,,"Abricot au sirop, appertisé, égoutté"
foodcarbon,13715,apricot_in_syrup_canned_not_drained,"Apricot, in syrup, canned, not drained",,"Abricot au sirop, appertisé, non égoutté",0.769000,kgCO2e/kg_product,,"Abricot au sirop, appertisé, non égoutté"
foodcarbon,2043,apricot_nectar,Apricot nectar,,Nectar d'abricot,0.563000,kgCO2e/kg_product,,Nectar d'abricot
foodcarbon,13001,apricot_pitted_dried,"Apricot, pitted, dried",,"Abricot, dénoyauté, sec",3.110000,kgCO2e/kg_product,,"Abricot, dénoyauté, sec"
foodcarbon,13000,apricot_pitted_raw,"Apricot, pitted, raw",,"Abricot, dénoyauté, cru",1.450000,kgCO2e/kg_product,,"Abricot, dénoyauté, cru"
foodcarbon,23494,apricots_tart,Apricots tart,,Tarte aux abricots,2.250000,kgCO2e/kg_product,,Tarte aux abricots
foodcarbon,26171,arctic_char_raw,"Arctic char, raw",,"Omble chevalier, cru",5.400000,kgCO2e/kg_product,,"Omble chevalier, cru"
foodcarbon,11111,armorican_style_sauce_prepacked,"Armorican-style sauce, prepacked",,"Sauce armoricaine, préemballée",3.910000,kgCO2e/kg_product,,"Sauce armoricaine, préemballée"
foodcarbon,11172,aromatic_stock_cube_for_fish_dehydrated,"Aromatic stock cube, for fish, dehydrated",,"Court-bouillon pour poissons, déshydraté",7.580000,kgCO2e/kg_product,,"Court-bouillon pour poissons, déshydraté"
foodcarbon,20156,artichoke_base_canned_drained,"Artichoke base, canned, drained",,"Artichaut, fond, appertisé, égoutté",2.170000,kgCO2e/kg_product,,"Artichaut, fond, appertisé, égoutté"
foodcarbon,20232,artichoke_base_frozen_raw,"Artichoke base, frozen, raw",,"Artichaut, fond, surgelé, cru",1.410000,kgCO2e/kg_product,,"Artichaut, fond, surgelé, cru"
foodcarbon,20067,artichoke_canned_drained,"Artichoke, canned, drained",,"Artichaut, appertisé, égoutté",2.020000,kgCO2e/kg_product,,"Artichaut, appertisé, égoutté"
foodcarbon,20000,artichoke_globe_cooked,"Artichoke, globe, cooked",,"Artichaut, cuit",2.060000,kgCO2e/kg_product,,"Artichaut, cuit"
foodcarbon,20052,artichoke_globe_raw,"Artichoke, globe, raw",,"Artichaut, cru",2.560000,kgCO2e/kg_product,,"Artichaut, cru"
foodcarbon,20155,artichoke_heart_canned_drained,"Artichoke, heart, canned, drained",,"Artichaut, coeur, appertisé, égoutté",2.020000,kgCO2e/kg_product,,"Artichaut, coeur, appertisé, égoutté"
foodcarbon,12761,asiago_cheese_from_cow_s_milk,"Asiago cheese, from cow's milk",,Asiago,6.050000,kgCO2e/kg_product,,Asiago
foodcarbon,9085,asian_noodles_flavoured_cooked,"Asian noodles, flavoured, cooked",,"Nouilles asiatiques cuites, aromatisées",1.490000,kgCO2e/kg_product,,"Nouilles asiatiques cuites, aromatisées"
foodcarbon,9863,asian_noodles_flavoured_dehydrated,"Asian noodles, flavoured, dehydrated",,"Nouilles asiatiques aromatisées, déshydratées",1.680000,kgCO2e/kg_product,,"Nouilles asiatiques aromatisées, déshydratées"
